Bundesland,Betrag,Einwohnerzahlen,BIP,pro_einwohner,bip_pro_einwohner
Baden-Württemberg,10039713.65,10951893,476.27,0.9167103486127923,43.487459199975746
Bayern,19623482.87,12930751,569.81,1.5175826114043958,44.06627271687468
Berlin,12042024.97,3574830,130.54,3.3685587762215268,36.51642175991585
Brandenburg,4235603.46,2494648,66.94,1.6978761973633154,26.83344503913979
Bremen,1110453.28,678753,32.06,1.636019700833735,47.2336770518878
Hamburg,7063604.47,1810438,112.96,3.901599762046532,62.39374118307283
Hessen,14442955.58,6213088,269.44,2.3246018050927333,43.36651919303252
Mecklenburg-Vorpommern,1777216.37,1610674,41.02,1.1033991794739346,25.467599278314545
Niedersachsen,10755234.25,7945685,276.27,1.3535943408277575,34.76981531485328
Nordrhein-Westfalen,27037474.46,17890100,668.91,1.5113092973208646,37.389953102553925
Rheinland-Pfalz,5903849.68,4066053,138.5,1.451985421734542,34.06251713885678
Saarland,1246431.63,996651,34.33,1.2506199562334257,34.44535750227512
Sachsen,5014617.75,4081783,118.2,1.2285360956229177,28.957933334525624
Sachsen-Anhalt,2687609.57,2236252,59.08,1.2018366311131303,26.419204991208503
Schleswig-Holstein,4536524.91,2881926,89.82,1.5741295612725656,31.16665729793201
Thüringen,2534580.02,2158128,59.9,1.1744345191758783,27.75553627959046
